accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,precision,recall,f1-score,support
0.6223776223776224,0.7202192868859536,0.6223776223776224,0.7157864280241903,0.6120199789317436,0.6223776223776224,0.6223776223776224,0.6118084456865066,0.6223776223776224,0.6158995350320666,,,,
,,,,,,,,,,0.75,0.4,0.5217391304347826,15.0
,,,,,,,,,,1.0,0.38461538461538464,0.5555555555555556,13.0
,,,,,,,,,,0.8888888888888888,0.4444444444444444,0.5925925925925926,18.0
,,,,,,,,,,0.7272727272727273,0.5714285714285714,0.64,14.0
,,,,,,,,,,0.4230769230769231,0.7857142857142857,0.55,14.0
,,,,,,,,,,0.6666666666666666,0.47058823529411764,0.5517241379310345,17.0
,,,,,,,,,,0.9,0.5625,0.6923076923076923,16.0
,,,,,,,,,,0.4722222222222222,0.9444444444444444,0.6296296296296297,18.0
,,,,,,,,,,0.6538461538461539,0.9444444444444444,0.7727272727272727,18.0
,,,,,,,,,,0.6223776223776224,0.6223776223776224,0.6223776223776224,0.6223776223776224
,,,,,,,,,,0.7202192868859536,0.6120199789317436,0.6118084456865066,143.0
,,,,,,,,,,0.7157864280241903,0.6223776223776224,0.6158995350320666,143.0
