epoch,accuracy,loss,val_accuracy,val_loss
0,0.19964973628520966,1.9830089807510376,0.0,2.550189971923828
1,0.28196147084236145,1.6285169124603271,0.0979020968079567,2.143279552459717
2,0.4063047170639038,1.907019853591919,0.4965035021305084,1.877413272857666
3,0.4430823028087616,0.6388517618179321,0.4335664212703705,1.7293150424957275
4,0.4290718138217926,0.8556161522865295,0.4335664212703705,1.46427321434021
5,0.5271453857421875,0.9816948771476746,0.5664335489273071,1.302503228187561
6,0.5376532673835754,0.5480350255966187,0.7622377872467041,0.9360290765762329
7,0.5744308233261108,0.46791255474090576,0.748251736164093,0.7664949893951416
8,0.6339755058288574,0.3495488166809082,0.7132866978645325,0.7356104254722595
9,0.7302977442741394,0.29580795764923096,0.7902097702026367,0.6937481164932251
10,0.7530648112297058,0.26771247386932373,0.8321678042411804,0.6768001317977905
11,0.7758318781852722,0.2539294958114624,0.8041958212852478,0.7459378242492676
12,0.7880910634994507,0.23402346670627594,0.8531468510627747,0.5530996918678284
13,0.793345034122467,0.22892363369464874,0.8461538553237915,0.5477635860443115
14,0.8196147084236145,0.19009949266910553,0.8951048851013184,0.5162643790245056
15,0.8844133019447327,0.15428143739700317,0.8531468510627747,0.6175469160079956
16,0.8774080276489258,0.15803363919258118,0.6993007063865662,1.0057942867279053
17,0.8861646056175232,0.12941032648086548,0.867132842540741,0.5549891591072083
18,0.917688250541687,0.09470870345830917,0.8601398468017578,0.5351554751396179
19,0.9352014064788818,0.0950496643781662,0.8181818127632141,0.6492045521736145
20,0.9369527101516724,0.08028773963451385,0.8531468510627747,0.6407265663146973
21,0.9387040138244629,0.0814274251461029,0.8461538553237915,0.7291322946548462
22,0.9597197771072388,0.0686432495713234,0.8461538553237915,0.6893994212150574
23,0.9579684734344482,0.06434507668018341,0.8741258978843689,0.5871897339820862
24,0.9667250514030457,0.051256779581308365,0.8601398468017578,0.6604782938957214
25,0.9614710807800293,0.05857907980680466,0.7902097702026367,0.8378013372421265
26,0.9264448285102844,0.08437590301036835,0.8531468510627747,0.6135450601577759
27,0.9649737477302551,0.06482895463705063,0.867132842540741,0.5932934880256653
28,0.9474605917930603,0.0806679055094719,0.8531468510627747,0.5839213132858276
29,0.9684763550758362,0.04955672100186348,0.867132842540741,0.5338868498802185
